max_depth,n_estimators,label,workload,regular_accuracy,custom_accuracy,slowdown,energy_savings
5,20,off_path_reason,mysql,0.9722653846153846,,,
5,20,off_path_reason,mongodb,0.9566593406593407,,,
5,20,off_path_reason,postgres,0.9881270588235294,,,
5,20,off_path_reason,verilator,0.8227990654205607,,,
5,20,off_path_reason,xgboost,0.8313431297709923,,,
5,20,off_path_reason,all,,0.7567587594206824,0.01828409805119557,0.1152172853524405
5,20,off_path_reason,clang,,0.8258801530376223,0.027139642039120976,0.16168990549652165
5,20,off_path_reason,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
5,20,off_path_reason,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
5,20,off_path_reason,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
5,20,off_path_reason,postgres,,0.888710207430072,0.023849486091306122,0.22290244343066962
5,20,off_path_reason,verilator,,0.5259729527157626,0.04862977091285594,0.12975839362801364
5,20,off_path_reason,xgboost,,0.5338489060783262,0.029437683242224767,0.10266374852377222
5,20,off_path,all,0.7810691387559808,,,
5,20,off_path,clang,0.8196416666666667,,,
5,20,off_path,gcc,0.5651546099290781,,,
5,20,off_path,mysql,0.8591769230769231,,,
5,20,off_path,mongodb,0.729710989010989,,,
5,20,off_path,postgres,0.9057964705882353,,,
5,20,off_path,verilator,0.716207476635514,,,
5,20,off_path,xgboost,0.8672763358778626,,,
5,20,off_path,all,,0.8580814116268399,0.0037349323297109524,0.11665545105418712
5,20,off_path,clang,,0.8312879836722229,0.025439378874404277,0.16087067214459594
5,20,off_path,gcc,,0.6825980204949098,0.05718330118325165,0.21638506158926574
5,20,off_path,mysql,,0.8719576496519181,0.02369108927199956,0.19213512800348312
5,20,off_path,mongodb,,0.7849894024477546,0.03859953525354872,0.18698182867822932
5,20,off_path,postgres,,0.8904158741137818,0.023446982827505323,0.2228819747095005
5,20,off_path,verilator,,0.7342381561556386,0.010533813481949377,0.12378627265548114
5,20,off_path,xgboost,,0.6986565257700095,4.1357018502529076e-05,0.09587346940632423
5,10,off_path_reason,all,0.9110568181818182,,,
5,10,off_path_reason,clang,0.9913541666666666,,,
5,10,off_path_reason,gcc,0.9753978723404255,,,
5,10,off_path_reason,mysql,0.9722653846153846,,,
5,10,off_path_reason,mongodb,0.9566593406593407,,,
5,10,off_path_reason,postgres,0.9881270588235294,,,
5,10,off_path_reason,verilator,0.8227990654205607,,,
5,10,off_path_reason,xgboost,0.8313431297709923,,,
5,10,off_path_reason,all,,0.7567587594206824,0.01828409805119557,0.1152172853524405
5,10,off_path_reason,clang,,0.8258801530376223,0.027139642039120976,0.16168990549652165
5,10,off_path_reason,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
5,10,off_path_reason,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
5,10,off_path_reason,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
5,10,off_path_reason,postgres,,0.888710207430072,0.023849486091306122,0.22290244343066962
5,10,off_path_reason,verilator,,0.5259729527157626,0.04862977091285594,0.12975839362801364
